"TIME","GEO","UNIT","SEX","AGE","ICD10","Value","Flag and Footnotes"
"2002","Ireland","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","29 683",""
"2002","Ireland","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","15 390",""
"2002","Ireland","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","14 293",""
"2002","Greece","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","103 915",""
"2002","Greece","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","54 406",""
"2002","Greece","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","49 509",""
"2002","Spain","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","368 618",""
"2002","Spain","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","193 269",""
"2002","Spain","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","175 349",""
"2002","France","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","545 349",""
"2002","France","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","278 794",""
"2002","France","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","266 555",""
"2002","France (metropolitan)","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","535 140",""
"2002","France (metropolitan)","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","272 999",""
"2002","France (metropolitan)","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","262 141",""
"2002","Croatia","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","50 569",""
"2002","Croatia","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","25 731",""
"2002","Croatia","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","24 838",""
"2002","Italy","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","560 390",""
"2002","Italy","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","279 296",""
"2002","Italy","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","281 094",""
"2002","Cyprus","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","5 168",""
"2002","Cyprus","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","2 752",""
